gc 43 @1.339s 3%: 0.016+5.6+0.041 ms clock, 0.064+0.099/5.5/6.7+0.16 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 44 @1.391s 3%: 0.013+11+0.17 ms clock, 0.055+0.21/11/14+0.71 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 45 @1.405s 3%: 0.027+0.16+0.027 ms clock, 0.10+0/0.13/0.24+0.10 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 46 @1.455s 3%: 0.012+5.7+0.035 ms clock, 0.050+0.077/5.6/6.0+0.14 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 47 @1.509s 3%: 0.012+9.6+0.10 ms clock, 0.048+0.23/9.5/16+0.42 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 48 @1.521s 3%: 0.010+0.22+0.042 ms clock, 0.042+0/0.18/0.18+0.16 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 49 @1.573s 3%: 0.015+7.2+0.58 ms clock, 0.063+0.10/7.0/5.5+2.3 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 50 @1.635s 3%: 0.013+9.7+0.050 ms clock, 0.054+0.14/9.7/16+0.20 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 51 @1.645s 3%: 0.008+0.12+0.032 ms clock, 0.034+0/0.10/0.10+0.13 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 52 @1.699s 3%: 0.011+6.6+0.056 ms clock, 0.046+0.096/6.5/5.2+0.22 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 53 @1.750s 3%: 0.011+10+0.19 ms clock, 0.046+0.21/10/15+0.78 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 54 @1.762s 3%: 0.031+0.12+0.021 ms clock, 0.12+0/0.083/0.14+0.086 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 55 @1.810s 3%: 0.009+5.1+0.023 ms clock, 0.039+0.14/5.0/6.2+0.095 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 56 @1.858s 3%: 0.010+8.5+0.066 ms clock, 0.042+0.25/8.4/15+0.26 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 57 @1.869s 3%: 0.028+0.10+0.042 ms clock, 0.11+0/0.091/0.14+0.16 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
